"측정일시","지점명","지점코드","SAWS온도(평균)","SAWS습도(평균)","풍향1","풍향2","SAWS풍속(평균)","SAWS누적강수량","SAWS일사량","SAWS일조량"
"2019082220","남산","1151","26.2","74.6","13","서","0.6","0","20.6","8.8"
"2019082220","노원","1163","27.8","69.5","15","북서","1.2","0","13.2","9.6"
"2019082220","은평","1172","26.3","","12","서남서","2.2","0","21.7","9.4"
"2019082220","강동","1175","27.5","56.4","13","서","2.9","0","19.5","2.5"
